"STA";"SEL";"ID_F1";"TZF_F1";"NUM_TFZ_F1";"TOTALWEIGHT_F1";"VMAX_F1";"BREAKCLASS_F1";"BrH_F1";"LZB_F1";"T10WithI_F1";"ID_F2";"TZF_F2";"NUM_TFZ_F2";"TOTALWEIGHT_F2";"VMAX_F2";"BREAKCLASS_F2";"BrH_F2";"LZB_F2";"T10WithI_F2";"ID_F3";"TZF_F3";"NUM_TFZ_F3";"TOTALWEIGHT_F3";"VMAX_F3";"BREAKCLASS_F3";"BrH_F3";"LZB_F3";"T10WithI_F3"
"223";"5202#678";5202;"182-1";1;1700;100;"P";61;"FALSE";530,409922745475;678;"1144-1";1;1300;90;"G";54;"FALSE";608,083668706009;"";"";"";"";"";"";"";"";""
"225";"3757#5870";3757;"152-3";1;1600;100;"P";61;"FALSE";517,588173854945;5870;"185-2";1;2200;80;"P";53;"FALSE";637,162744175789;"";"";"";"";"";"";"";"";""
"251";"3757#6356";3757;"152-3";1;1600;100;"P";61;"TRUE";517,588173854945;6356;"185CL1-1";1;1700;90;"P";65;"TRUE";554,019534373292;"";"";"";"";"";"";"";"";""
"253";"3757#6356";3757;"152-3";1;1600;100;"P";67;"FALSE";517,588173854945;6356;"185CL1-1";1;1700;90;"P";60;"TRUE";554,019534373292;"";"";"";"";"";"";"";"";""
"289";"5202#13680";5202;"182-1";1;1700;100;"P";62;"FALSE";530,409922745475;13680;"4370-1";1;2200;90;"G";59;"FALSE";673,468376277818;"";"";"";"";"";"";"";"";""
"291";"5202#13680";5202;"182-1";1;1700;100;"P";65;"FALSE";530,409922745475;13680;"4370-1";1;2200;90;"G";64;"FALSE";673,468376277818;"";"";"";"";"";"";"";"";""
"293";"46086#38831";46086;"218-2";1;900;100;"P";66;"FALSE";840,172995590957;38831;"1265-1";1;1700;60;"P";40;"FALSE";1082,76541074806;"";"";"";"";"";"";"";"";""
"295";"1167#10136";1167;"139-1";1;1300;100;"P";64;"FALSE";605,336156099342;10136;"250-1";1;3500;80;"G";54;"FALSE";1137,18201541459;"";"";"";"";"";"";"";"";""
"299";"1167#10136";1167;"139-1";1;1300;100;"P";64;"FALSE";605,336156099342;10136;"250-1";1;3500;80;"G";54;"FALSE";1137,18201541459;"";"";"";"";"";"";"";"";""
"303";"5202#13680";5202;"182-1";1;1700;100;"P";66;"FALSE";530,409922745475;13680;"4370-1";1;2200;90;"G";60;"FALSE";673,468376277818;"";"";"";"";"";"";"";"";""
"305";"5202#13680";5202;"182-1";1;1700;100;"P";40;"FALSE";530,409922745475;13680;"4370-1";1;2200;90;"G";54;"FALSE";673,468376277818;"";"";"";"";"";"";"";"";""
"319";"1167#10136";1167;"139-1";1;1300;100;"P";65;"FALSE";605,336156099342;10136;"250-1";1;3500;80;"G";54;"FALSE";1137,18201541459;"";"";"";"";"";"";"";"";""
